k1,k2,E_Ts_x1,E_Tr_x1,E_OS_x1,E_Osc_x1,E_Ts_x2,E_Tr_x2,E_OS_x2,E_Osc_x2,E_Up,E_Ui,J,ProbabilityWeight-k1,prefix,ProbabilityWeight,ProbabilityWeight-k2,PointProbability
0.001,0.001,19.998459846,1.68458845885,1.95637768525,6.4,19.998119812,1.48392839284,1.95754004527,6.34,0.00276972379324,0.0355082962583,11.0202882015,0.010198,1,0.00010702801,0.010495,0.1
0.001,0.04098,19.995359536,1.47642764276,1.81497735673,6.48,19.99889989,1.5704770477,1.81217945847,6.28,0.0773169186029,0.831030225588,11.0632343885,0.010198,2,0.00020385802,0.01999,0.1
0.001,0.08096,19.9865986599,1.49878987899,1.85172874041,6.44,19.99569957,1.63486348635,1.84551552011,6.3,0.161989974536,1.48295226979,11.2556070344,0.010198,3,0.00020385802,0.01999,0.1
0.001,0.12094,19.8809080908,1.84812481248,1.6098713097,6.28,19.8760476048,1.39665966597,1.63653343489,6.28,0.221348267723,1.74587251252,11.2066765165,0.010198,4,0.00020385802,0.01999,0.1
0.001,0.16092,19.9741374137,1.45228522852,1.46078174649,6.39,19.9483148315,1.64604460446,1.43721021509,6.23,0.275297212243,1.88688542259,11.1765200357,0.010198,5,0.00020385802,0.01999,0.1
0.001,0.2009,19.9630163016,1.67558755876,1.3821565012,6.32,19.9199919992,1.49128912891,1.39792853375,6.19,0.346834594288,2.07251779857,11.2436425479,0.010198,6,0.00020385802,0.01999,0.1
0.001,0.24088,19.5500750075,1.67608760876,1.35697224515,6.17,19.5100910091,1.51053105311,1.39893766883,6.02,0.433272808071,2.30492287124,11.1646743053,0.010198,7,0.00020385802,0.01999,0.1
0.001,0.28086,19.6424842484,1.67286728673,1.25506029494,6.07,19.6643064306,1.55617561756,1.31422430456,6.03,0.480895795695,2.34002492741,11.2256944397,0.010198,8,0.00020385802,0.01999,0.1
0.001,0.32084,18.9426142614,1.62726272627,1.21416154798,5.86,18.8594059406,1.38937893789,1.26408389163,5.75,0.551579552067,2.41392059136,10.871561156,0.010198,9,0.00020385802,0.01999,0.1
0.001,0.36082,18.1141514151,1.68758875888,1.14496470864,5.52,18.096869687,1.3298129813,1.21060917928,5.53,0.62702268979,2.46069178179,10.5599901404,0.010198,10,0.00020385802,0.01999,0.1
0.001,0.4008,16.5702570257,1.74793479348,1.00925982716,4.98,16.699789979,1.37197719772,1.07594166736,5.1,0.63638665832,2.32262810121,9.85931452213,0.010198,11,0.00020385802,0.01999,0.1
0.001,0.44078,15.1810381038,1.68262826283,0.986166794917,4.52,14.9899589959,1.40838083808,1.0451265668,4.52,0.728064338239,2.42065953669,9.23787403463,0.010198,12,0.00020385802,0.01999,0.1
0.001,0.48076,13.9761376138,1.79301930193,0.93720374902,4.06,14.0892889289,1.40532053205,1.05675834793,4.24,0.806716819451,2.54468664954,8.87733613363,0.010198,13,0.00020385802,0.01999,0.1
0.001,0.52074,12.9773977398,1.88618861886,0.868750782813,3.71,13.0367236724,1.4099809981,1.02537117218,3.89,0.881769495767,2.58217680844,8.49968053806,0.010198,14,0.00020385802,0.01999,0.1
0.001,0.56072,11.9225322532,1.71355135514,0.815410617857,3.42,11.9163916392,1.47280728073,0.896767686593,3.48,0.910313595813,2.47686993303,7.94671871976,0.010198,15,0.00020385802,0.01999,0.1
0.001,0.6007,10.7761376138,1.98545854585,0.6640823979,2.96,11.098289829,1.39471947195,0.833327269318,3.27,0.909564590368,2.32211935824,7.49697120671,0.010198,16,0.00020385802,0.01999,0.1
0.001,0.64068,10.704730473,1.79395939594,0.769301998908,2.98,10.6820082008,1.40298029803,0.900292036166,3.09,1.12825374686,2.68110167017,7.623679799,0.010198,17,0.00020385802,0.01999,0.1
0.001,0.68066,9.70305030503,1.81710171017,0.712158719057,2.68,9.66742674267,1.33795379538,0.817224128622,2.77,1.10013525604,2.50428427837,7.07792074308,0.010198,18,0.00020385802,0.01999,0.1
0.001,0.72064,9.36551655166,1.92259225923,0.663924883322,2.5,9.32363236324,1.28514851485,0.839013158799,2.65,1.22247309192,2.65479751029,7.0669179073,0.010198,19,0.00020385802,0.01999,0.1
0.001,0.76062,8.62058205821,1.70701070107,0.64732729086,2.3,8.71603160316,1.40564056406,0.741377822937,2.42,1.27177262316,2.58458019882,6.74535699855,0.010198,20,0.00020385802,0.01999,0.1
0.001,0.8006,8.05380538054,1.96389638964,0.513925522214,2.04,8.18841884188,1.34365436544,0.693382032063,2.29,1.1983216633,2.40464335117,6.42465157291,0.010198,21,0.00020385802,0.01999,0.1
0.001,0.84058,7.97377737774,1.90205020502,0.541277641879,2.02,8.0603060306,1.42458245825,0.708113406298,2.22,1.38927313586,2.65912274594,6.60938125475,0.010198,22,0.00020385802,0.01999,0.1
0.001,0.88056,7.41794179418,1.81578157816,0.544646727783,1.89,7.38489848985,1.2900090009,0.659594286025,2.02,1.44548231105,2.5494820081,6.29809157924,0.010198,23,0.00020385802,0.01999,0.1
0.001,0.92054,7.2700270027,1.73803380338,0.533532487235,1.87,6.98289828983,1.53875387539,0.602534568884,1.79,1.50899390705,2.61157850019,6.27855460073,0.010198,24,0.00020385802,0.01999,0.1
0.001,0.96052,6.81534153415,1.89716971697,0.43703155681,1.64,6.80390039004,1.36519651965,0.61623115345,1.79,1.46241164826,2.5132459377,6.05220187049,0.010198,25,0.00020385802,0.01999,0.1
0.001,1.0005,6.48650865087,2.10839083908,0.397493821005,1.47,6.55277527753,1.38303830383,0.582530668802,1.67,1.66138371436,2.61543888375,6.18113868671,0.010198,26,0.00020385802,0.01999,0.1
0.001,1.04048,6.32193219322,2.12097209721,0.376523552199,1.41,6.51497149715,1.48058805881,0.568561403115,1.66,1.6784843152,2.65152091455,6.18396228172,0.010198,27,0.00020385802,0.01999,0.1
0.001,1.08046,5.94429442944,2.05544554455,0.35477451384,1.26,6.2396239624,1.35729572957,0.578554358692,1.6,1.64667196445,2.58735287932,5.9331035736,0.010198,28,0.00020385802,0.01999,0.1
0.001,1.12044,5.62330233023,2.17203720372,0.298744396043,1.15,5.75287528753,1.42074207421,0.486337568953,1.42,1.68102631672,2.48259872775,5.79607760463,0.010198,29,0.00020385802,0.01999,0.1
0.001,1.16042,5.5904990499,2.02090209021,0.317597276479,1.18,5.62266226623,1.30195019502,0.475774999593,1.39,1.71268832862,2.45761788751,5.70473518572,0.010198,30,0.00020385802,0.01999,0.1
0.001,1.2004,5.66692669267,2.28184818482,0.274259239442,1.12,5.67930793079,1.3898989899,0.50038485908,1.39,1.82199682984,2.64055738014,5.96595316516,0.010198,31,0.00020385802,0.01999,0.1
0.001,1.24038,5.43202320232,2.29902990299,0.244548523473,1.06,5.31455145515,1.43260326033,0.45085790875,1.26,1.82329408266,2.52503162197,5.82130304397,0.010198,32,0.00020385802,0.01999,0.1
0.001,1.28036,5.17139713971,2.17091709171,0.256940981149,1.0,5.09400940094,1.49292929293,0.419563654245,1.17,1.899447971,2.55350207303,5.76521085042,0.010198,33,0.00020385802,0.01999,0.1
0.001,1.32034,5.08808880888,2.12389238924,0.271327805258,0.99,4.89944994499,1.35261526153,0.439403351098,1.1,2.1567401158,2.70988811334,5.92252458135,0.010198,34,0.00020385802,0.01999,0.1
0.001,1.36032,5.01784178418,2.3603960396,0.245424004314,0.95,4.50663066307,1.24210421042,0.455650723991,0.99,1.9911190201,2.57505156047,5.67885153358,0.010198,35,0.00020385802,0.01999,0.1
0.001,1.4003,4.78119811981,2.5702770277,0.171163728501,0.79,4.40512051205,1.51527152715,0.424211268773,0.85,2.16045343325,2.67026853546,5.90159112693,0.010198,36,0.00020385802,0.01999,0.1
0.001,1.44028,4.61916191619,2.67538753875,0.1564949721,0.68,4.3504550455,1.49756975698,0.410825939882,0.8,2.15910518963,2.76878985613,5.87656971467,0.010198,37,0.00020385802,0.01999,0.1
0.001,1.48026,4.3797379738,2.8498449845,0.160046416307,0.56,4.36815681568,1.26774677468,0.433843233544,0.84,2.12740138721,2.69981083071,5.77565673473,0.010198,38,0.00020385802,0.01999,0.1
0.001,1.52024,4.10935093509,2.73555355536,0.125042170724,0.47,4.28534853485,1.4198019802,0.382649269855,0.8,2.13291404585,2.684907494,5.69007836893,0.010198,39,0.00020385802,0.01999,0.1
0.001,1.56022,3.84640464046,2.74789478948,0.129193559459,0.33,4.30947094709,1.4304030403,0.352936928217,0.81,2.2528147752,2.62073854637,5.74705462022,0.010198,40,0.00020385802,0.01999,0.1
0.001,1.6002,4.00492049205,2.83084308431,0.119201972072,0.35,4.35611561156,1.24866486649,0.40683176001,0.83,2.45256022292,2.82357236177,5.98923832721,0.010198,41,0.00020385802,0.01999,0.1
0.001,1.64018,3.98085808581,2.84100410041,0.131387138982,0.31,4.35513551355,1.66382638264,0.344982437983,0.74,2.43969109705,2.83153266856,6.0915148698,0.010198,42,0.00020385802,0.01999,0.1
0.001,1.68016,4.13611361136,3.07274727473,0.145825401252,0.33,4.3703570357,1.4396839684,0.343431869804,0.78,2.50803466654,2.77854807846,6.19902628465,0.010198,43,0.00020385802,0.01999,0.1
0.001,1.72014,4.08064806481,3.30101010101,0.109899240014,0.28,4.27932793279,1.4899689969,0.326269499589,0.71,2.66673044101,2.86518711918,6.40743341614,0.010198,44,0.00020385802,0.01999,0.1
0.001,1.76012,4.15147514751,2.91775177518,0.14653216922,0.36,4.22334233423,1.29358935894,0.309306109616,0.76,2.55781343517,2.70960891127,6.10763161655,0.010198,45,0.00020385802,0.01999,0.1
0.001,1.8001,4.31571157116,3.45706570657,0.0847595377089,0.25,4.44622462246,1.51845184518,0.344005352455,0.73,2.81265412455,3.0233824713,6.70846129891,0.010198,46,0.00020385802,0.01999,0.1
0.001,1.84008,4.26496649665,3.34677467747,0.10827442677,0.28,4.28602860286,1.81564156416,0.266375858519,0.64,2.78190971692,2.88008507147,6.66535445993,0.010198,47,0.00020385802,0.01999,0.1
0.001,1.88006,4.51061106111,3.43792379238,0.108361776862,0.31,4.39793979398,1.55185518552,0.297253975006,0.68,2.97256470802,3.0649931693,6.90159163939,0.010198,48,0.00020385802,0.01999,0.1
0.001,1.92004,4.4701070107,3.24810481048,0.115493942534,0.3,4.35289528953,1.54121412141,0.303577476621,0.65,3.17744108633,3.21112438096,7.0374384063,0.010198,49,0.00020385802,0.01999,0.1
0.001,1.96002,4.74745474547,3.62152215222,0.104715121824,0.29,4.55271527153,1.55909590959,0.306828294904,0.73,3.02739635541,3.11900021459,7.10755046018,0.010198,50,0.00020385802,0.01999,0.1
0.001,2.0,4.60634063406,4.17685768577,0.0503040277767,0.16,4.3203120312,1.9898189819,0.282016085605,0.61,2.63794068129,2.89323112688,6.91046401383,0.010198,51,0.00010192901,0.009995,0.1
0.10098,0.001,19.999159916,1.4903890389,1.85158192194,6.61,19.999459946,1.48190819082,1.94287026513,6.71,0.187136282117,2.38238985917,11.3890934151,0.019996,52,0.00020985802,0.010495,0.1
0.10098,0.04098,19.998919892,1.46666666667,1.88929792459,6.59,20.0,1.53225322532,1.98057884053,6.69,0.213691633546,2.29605592593,11.4317288214,0.019996,53,0.00039972004,0.01999,0.1
0.10098,0.08096,19.9920792079,1.53239323932,1.55911701994,6.58,19.995119512,1.36883688369,1.64769831556,6.72,0.219989029739,2.00356674107,11.2096429124,0.019996,54,0.00039972004,0.01999,0.1
0.10098,0.12094,19.9931593159,1.41454145415,1.58594139874,6.61,19.9928792879,1.5600160016,1.64771070975,6.65,0.281702397576,2.21684590999,11.3205268884,0.019996,55,0.00039972004,0.01999,0.1
0.10098,0.16092,19.9508550855,1.48090809081,1.50462301499,6.55,19.9456945695,1.55057505751,1.57777002748,6.64,0.339793419025,2.30575410301,11.3453867883,0.019996,56,0.00039972004,0.01999,0.1
0.10098,0.2009,19.8440244024,1.42662266227,1.29957933104,6.52,19.8857285729,1.50757075708,1.35414930514,6.56,0.361762550197,2.1627377377,11.1716373973,0.019996,57,0.00039972004,0.01999,0.1
0.10098,0.24088,19.6232423242,1.52199219922,1.38421365645,6.36,19.6852685269,1.31695169517,1.485708671,6.55,0.472202253118,2.49788998432,11.2405655582,0.019996,58,0.00039972004,0.01999,0.1
0.10098,0.28086,19.3295129513,1.49796979698,1.21921701924,6.26,19.4121612161,1.51343134313,1.29072222483,6.32,0.494613732302,2.35496201687,11.0774222662,0.019996,59,0.00039972004,0.01999,0.1
0.10098,0.32084,19.1139513951,1.6498649865,1.22740537116,6.19,18.9405340534,1.45698569857,1.29402259487,6.11,0.594724531161,2.52813809327,11.0705631629,0.019996,60,0.00039972004,0.01999,0.1
0.10098,0.36082,18.6531053105,1.54843484348,1.21329812069,5.99,18.7289328933,1.43224322432,1.31062782758,6.06,0.689485233223,2.67138495909,10.9844952898,0.019996,61,0.00039972004,0.01999,0.1
0.10098,0.4008,16.8417641764,1.51717171717,1.07091753868,5.34,17.1075307531,1.41234123412,1.15886542228,5.46,0.699959205639,2.50138480506,10.1046759601,0.019996,62,0.00039972004,0.01999,0.1
0.10098,0.44078,15.0905290529,1.57403740374,0.976100374685,4.75,15.3639563956,1.47688768877,1.04682796021,4.86,0.733553529454,2.40944873805,9.32733337676,0.019996,63,0.00039972004,0.01999,0.1
0.10098,0.48076,13.9882988299,1.65104510451,0.98009362127,4.32,14.1462346235,1.35287528753,1.12168945483,4.47,0.859087743709,2.59841944659,8.94874279156,0.019996,64,0.00039972004,0.01999,0.1
0.10098,0.52074,12.6219621962,1.40516051605,0.901036720217,3.93,12.8848084808,1.51829182918,0.934585203224,4.0,0.840400782093,2.42306498663,8.22745101211,0.019996,65,0.00039972004,0.01999,0.1
0.10098,0.56072,11.60470047,1.6396039604,0.807710997193,3.51,11.7884188419,1.2096809681,0.944551092988,3.7,0.868704949899,2.34205241085,7.72397660336,0.019996,66,0.00039972004,0.01999,0.1
0.10098,0.6007,10.9676767677,1.56611661166,0.782591336966,3.33,11.0566856686,1.44696469647,0.865100533595,3.37,0.9866414093,2.41645287604,7.56482720322,0.019996,67,0.00039972004,0.01999,0.1
